Series Name,Series Code,Country Name,Country Code,2009 [YR2009],2012 [YR2012],2016 [YR2016]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,66.916,68.217,69.321
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,74.784,75.823,76.568
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,74.003,74.97,75.974
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,51.738,53.931,58.309
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,63.089,64.453,66.205
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,55.207,59.387,62.625
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,67.178,68.426,69.848
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,80.5487804878049,81.1048780487805,81.5609756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,76.9804878048781,77.0690703645998,76.9615007371216
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,80.7024390243902,81.1560975609756,81.6124390243903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,72.167,72.951,73.86
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,56.557,58.79,61.137
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,50.422,51.786,53.541
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,74.484,75.019,75.498
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,80.7951219512195,81.4512195121951,82.4073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,75.44,76.149,77.142
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,64.969,65.849,66.77
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,76.6,77.188,77.964
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,61.739,62.604,63.744
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,72.45,73.068,73.836
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,74.12,74.981,76.044
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,69.667,70.149,70.802
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,75.6951219512195,76.7463414634146,77.8512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,78.7268292682927,80.3731707317073,81.1243902439025
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,78.191,78.8475853658537,79.4949756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,78.945,79.399,79.868
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,73.309756097561,74.4121951219512,75.309756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,68.6846341463415,70.0721951219512,71.6512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,62.129,65.438,67.93
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,71.412,72.136,72.895
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,85.4170731707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,66.938,68.306,69.67
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,73.75,74.254,74.761
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,63.607,65.448,67.078
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,73.9853658536586,74.8365853658537,75.6878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,73.0829268292683,74.2756097560976,74.309756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,48.468,51.018,53.444
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,81.2414634146342,81.9951219512195,82.8463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,75.5878048780488,73.0536585365854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,74.909756097561,76.109756097561,77.1658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,78.9707317073171,80.1243902439024,81.1756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,70.366,71.296,72.424
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,53.654,54.713,56.324
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,56.46,60.06,63.153
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,54.219,55.791,57.12
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,81.4756097560976,82.4268292682927,83.3292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,75.286,75.796,76.482
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,74.712,75.138,75.752
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,78.5707317073171,79.0219512195122,79.6219512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,71.716,71.879,72.193
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,62.33,63.542,64.663
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,70.209,70.851,71.358
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,81.3512195121951,81.7048780487805,82.3073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,82.0439024390244,82.6975609756098,83.6024390243903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,72.938,70.55,70.315
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,68.36,69.34,70.397
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,57.666,60.47,63.844
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,73.766,74.992,76.403
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TLS,66.796,67.72,68.735
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,56.818,58.661,60.22
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,69.982,70.242,70.607
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,71.71,72.382,73.1
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,74.88,75.376,76.115
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,74.074,75.373,76.86
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,66.355,67.167,67.835
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,56.06,59.017,61.986
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,69.19,70.9441463414634,71.4763414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,76.145,76.711,77.47
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,80.0512195121951,80.9048780487805,81.1560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,78.390243902439,78.7414634146342,78.5390243902439
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,76.603,77.004,77.498
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,69.435,70.155,71.171
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,68.974,69.421,70.021
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,73.116,73.037,72.405
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,74.745,74.958,75.172
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,77.6146341463415,78.6682926829268,79.2682926829268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,72.656,73.041,73.589
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,65.255,65.92,66.087
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,54.13,58.502,62.464
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,48.449,55.032,60.294
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,70.1575600376968,70.7038265981398,71.4364968350268
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,72.5617473363951,72.9118034578893,73.3959563927788
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,74.9303639266576,75.9934886034531,76.9889398347238
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,67.6620700960707,68.8037713262235,70.0120657856167
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,EAS,73.7591251149315,74.5621267464985,75.6356214857727
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (excluding high income),EAP,72.7807241431027,73.645297438745,74.7556141751153
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,72.8262956803853,73.6854840044133,74.7936145719037
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,80.5051815429186,81.2271581727851,81.9459296735535
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,ECS,75.6380015766814,76.6198377360067,77.58798223754
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (excluding high income),ECA,70.4601080578351,71.7354255911906,73.0588130690153
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,70.9708067118605,72.2131570742172,73.5037822156379
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,79.4431180239453,80.2512210293864,80.9747052729731
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,59.9666932827972,61.2352595111376,62.8148612176963
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,58.1582233455606,60.1665646307852,62.3232892974951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,79.6371178748055,80.1771292046632,80.6403925377958
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IBRD only,IBD,70.8361990185876,71.8306933995187,72.9583648591877
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA & IBRD total,IBT,68.4193301885132,69.4585225903437,70.6194331761649
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA blend,IDB,58.8612565384326,60.2176454437311,61.6994535995304
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA only,IDX,61.3672130582976,62.9111515131251,64.6168770039905
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA total,IDA,60.5236196130299,62.0012785132448,63.628484037783
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,73.7018906768094,74.6085992465723,75.7451859577414
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,73.9027031936879,74.4596859340535,75.1199571564409
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,73.6998851765893,74.2574689520068,74.9220333257886
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,73.7854079789447,74.3535021669685,75.0287352285965
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,60.7830146674269,62.5153454782561,64.3457714393416
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,68.3491293502194,69.3912836861521,70.5554138431186
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,59.3540029160823,61.0769943545152,62.9893263460307
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,65.6812761191373,66.8504013239801,68.0745628862761
